01/27/2026-23:05:47.919471  [**] [1:2014170:6] ET INFO HTTP Request to .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.1.21.58:50943 -> 153.92.1.49:80
01/27/2026-23:06:13.639272  [**] [1:2225003:1] SURICATA SMB malformed response data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.296308  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.296691  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.297098  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.297527  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.298025  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.298571  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.300272  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.301979  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.302424  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.302786  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.303102  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.303223  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.304143  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.305226  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.305611  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.305939  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.306312  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.307166  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.307574  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.307892  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.308014  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.308491  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.309469  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.309854  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.310184  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.310563  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.311163  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.311545  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.311859  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.311998  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.333245  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.382351  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.382826  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.384799  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.385348  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.387313  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.387727  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.389668  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.390034  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.391983  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.392508  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.394460  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.394822  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.396824  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.397193  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.399158  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.399680  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.401637  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.401981  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.403992  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.404349  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.406300  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.406826  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.408779  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.409127  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.411157  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.411514  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.413516  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.414045  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.416026  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.416433  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.418415  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.418775  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.420753  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.421264  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.423308  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.423665  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.425671  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.426030  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.428180  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.428699  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.430795  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
01/27/2026-23:06:15.431144  [**] [1:2225018:1] SURICATA SMB too many transactions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.2:445 -> 10.1.21.58:50768
